metal_product,diameter,side_size,width,thickness,mark_number
Швеллер 10П 16700ММ Ст3 ГОСТ 8240-97,,,,,
Швеллер 10П 24000ММ Ст3 ГОСТ 8240-97,,,,,
Уголок 100х10ММ,,100.0,100.0,10.0,
Швеллер 10П 26000ММ Ст3 ГОСТ 8240-97,,,,,
Швеллер 14П 24000ММ Ст3 ГОСТ 8240-97,,,,,
Швеллер 14П 21200ММ Ст3 ГОСТ 8240-97,,,,,
Уголок L50x6,,50.0,50.0,6.0,
Швеллер 14П 26000ММ Ст3 ГОСТ 8240-97,,,,,
Швеллер 14П 14700ММ Ст3 ГОСТ 8240-97,,,,,
Швеллер 14П 16700ММ Ст3 ГОСТ 8240-97,,,,,
Уголок 50х5,,50.0,50.0,5.0,
Швеллер 10П 4550ММ Ст3 ГОСТ 8240-97,,,,,
Уголок 90х7,,90.0,90.0,7.0,
Швеллер 14П 13400ММ Ст3 ГОСТ 8240-97,,,,,
Уголок 60х6,,60.0,60.0,6.0,
Профиль квадратный горячеоцинкованный 100х100х4t,,100.0,100.0,4.0,
"Труба бесшовная (SMLS) DN 14"" (355.6х19.05) NACE MR0175 ASME B36.10M А333 Gr6",355.6,,,19.05,
Труба 89х4 Ст20 ТУ 14-ЗР-1128-2007,89.0,,,4.0,
Труба 57х4 Ст20 ТУ 14-ЗР-1128-2007,57.0,,,4.0,
Труба 25х3 ГОСТ 8734-75 В20 ГОСТ 8733-74,25.0,,,3.0,
Труба 108х5-20,108.0,,,5.0,
ТРУБА  22Х3 ГР.В 10Г2,22.0,,,3.0,
ТРУБА  32Х3 ГР.В 10Г2,32.0,,,3.0,
"ТРУБА 89Х4 ММ-20 БЕСШОВНАЯ, С ЗАВОДСКОЙ ИЗОЛЯЦИЕЙ 3Х СЛОЙНАЯ УСИЛЕННОГО ТИПА",89.0,,,4.0,
Труба стальная электросварная прямошовная 920х10мм,920.0,,,10.0,
Труба стальная электросварная с полимерно-битумной изоляцией,,,,,
Труба 720х7 ГОСТ 10704-91 Ст3сп К50 ГОСТ 10705-80 с изоляцией,720.0,,,7.0,
Труба 32х4 Ст20 ТУ 14-3Р-1128-2007,32.0,,,4.0,
Труба 273х7 ГОСТ 10704-91 СтЗсп ГОСТ 10705-80 с изоляцией,273.0,,,7.0,
Труба 33.7х3 ГОСТ 8734-75 В20 ГОСТ 8733-74,33.7,,,3.0,
