metal_product,diameter,side_size,width,thickness,mark_number
Труба 159х5 Ст3 ГОСТ 10705-80,159.0,,,5.0,
Труба 159х2 ГОСТ 10704-91 Ст3,159.0,,,2.0,
Труба 108х2.2 ГОСТ 10704-91 Ст3,108.0,,,2.2,
Труба 57х3.5 ГОСТ 10704-91 Ст3,57.0,,,3.5,
Полоса 5х80-Ст20 ГОСТ 103-2006,,,5.0,80.0,
Труба стальная 219х4мм,219.0,,,4.0,
Труба 377х6 ГОСТ 10704-91 Ст3сп,377.0,,,6.0,
Труба 273х5 ГОСТ 10704-91 Ст10,273.0,,,5.0,
"Труба стальная электросварная  ø159х4,0  L=1,0 м",159.0,,,4.0,
Профиль гнутый труба 50х50х4.0,,50.0,50.0,4.0,
Швеллер № 10,,,,,
Швеллер 14 ГОСТ 8240-97 Ст3кп,,,,,
Профиль 80х80х3 Ст3 ГОСТ 8639-82,,80.0,80.0,3.0,
Профиль 30х30х3 ГОСТ 30245-2003 С245,,30.0,30.0,3.0,
Профиль 4х80х80 ГОСТ 30245-2003 С245,,4.0,80.0,80.0,
Уголок 63х63х6 ГОСТ 8509-93 Ст3сп1-1 ГОСТ 535-2005,,63.0,63.0,6.0,
ШВЕЛЛЕР 12 Ст3сп4 ,,,,,
Уголок стальной 50х50х5,,50.0,50.0,5.0,
Уголок 90х8 ГОСТ 8509-93 3сп/пс5,,90.0,8.0,8509.0,
Лист 8х200 ГОСТ 19903-2015 Ст2сп5,,19903.0,200.0,8.0,
Полоса 8х70х70 Ст3,,,8.0,70.0,
Полоса 16х235 ГОСТ 103-76 Ст2сп5,,,16.0,235.0,
Полоса 6х100 ГОСТ 103-76 Ст2сп5,,,6.0,100.0,
Лист 5х60 ГОСТ 19903-74 Ст3пс/сп,,19903.0,60.0,5.0,
Лист 8х50 ГОСТ 19903-74 Ст3,,19903.0,50.0,8.0,
Лист 8х110х440 ГОСТ 19903-74 Ст3,,440.0,110.0,8.0,
Лист 6х60х360 ГОСТ 19903-74 Ст3,,360.0,60.0,6.0,
Лист 8х150х220 ГОСТ 19903-74 Ст3,,220.0,150.0,8.0,
Лист 6х180х180 ГОСТ 19903-74 Ст3,,180.0,180.0,6.0,
Лист 6х50 ГОСТ 19903-74 Ст3,,19903.0,50.0,6.0,
Лист 8х100 ГОСТ 19903-74 Ст3,,19903.0,100.0,8.0,
Лист 8х150 ГОСТ 19903-74 Ст3,,19903.0,150.0,8.0,
Лист 6х180 ГОСТ 19903-74 Ст3,,19903.0,180.0,6.0,
Лист 100х100х4 Ст3 ГОСТ 103-76,,4.0,100.0,100.0,
ПОЛОСА 8Х200 ВСТ3СП5,,,8.0,200.0,
ШВЕЛЛЕР 20MM.,,,,,
Уголок стальной 63*63*5мм,,63.0,63.0,5.0,
Труба 159х3.5 ГОСТ 10704-91 Ст20 ГОСТ 10705-80,159.0,,,3.5,
"Труба стальная электросварная прямошовная 325х4,5мм",325.0,,,4.5,
ТРУБА ДУ 500Х8 ММ,500.0,,,8.0,
Труба 400х7 ГОСТ 10704-91 Ст20,400.0,,,7.0,
Швеллер 8П ГОСТ 8240-97 Ст3сп,,,,,
Лист cтальной t=8мм,,,,,
Профиль стальной гнутый замкнутый сварной квадратный 80х3,,,,,
УГОЛОК 63X63X6 535-2005 8509-93  112100150671067 (EE-232 / 15 OF 21 / CGM-24-021 / 107-627),,63.0,63.0,6.0,
Уголок 50х50х5 ГОСТ 8509-93 Ст3сп/пс5 оцинкованный,,50.0,50.0,5.0,
Уголок 75х75х5 ГОСТ 8509-93 C245 ГОСТ 27772-88,,75.0,75.0,5.0,
Труба 33.5х3.5 Ст3пс ГОСТ 10705-80,33.5,,,3.5,
ПОЛОСА 8Х60,,,8.0,60.0,
Лист 10х1010х1320 ГОСТ 19903-74 С245,,1320.0,1010.0,10.0,
Лист 9х30х460 ГОСТ 19903-74 С245,,460.0,30.0,9.0,
Полоса 10х900 С245 ГОСТ 103-2006,,,10.0,900.0,
Полоса 8х120 С245 ГОСТ 103-2006,,,8.0,120.0,
Уголок 75х5 С235 ГОСТ 8568-97,,75.0,5.0,235.0,
Швеллер 22П ГОСТ 8240-89 C255 ГОСТ 27772-88,,,,,
Швеллер 12П ГОСТ 8240-97 Ст3,,,,,
УГОЛОК 140Х140Х9 С345-3,,140.0,140.0,9.0,
Арматура 36 А-I 09Г2С ГОСТ 2590-88,36.0,,,,
Уголок 50х50х5 3сп5,,50.0,50.0,5.0,
уголок стальной 80х50х5мм,,80.0,50.0,5.0,
Труба 40х3 стальная,40.0,,,3.0,
Профиль,,,,,
Труба 273х8 ГОСТ 10704-91 Ст20,273.0,,,8.0,
Труба 57х3 ГОСТ 10704-91 Ст20 ГОСТ 10705-80,57.0,,,3.0,
Труба 89х4 ГОСТ 8732-78 Ст20,89.0,,,4.0,
Труба 377х6 ГОСТ 10704-91 Ст3,377.0,,,6.0,
Лист 0.5 Ст2 ГОСТ 14918-80,,14918.0,2.0,0.5,
Лист 2х1250х2500 ГОСТ 19903-74 ГОСТ 16523-97,,2500.0,1250.0,2.0,
Уголок 125х125х12 ГОСТ 8509-93 С245,,125.0,125.0,12.0,
Уголок 125х125х9 ст.245 ГОСТ 8509-93,,125.0,125.0,9.0,
Уголок 160х160х10 ГОСТ 8509-93 С245,,160.0,160.0,10.0,
Труба профильная 40х4 ГОСТ 10704-2012 Ст20,,40.0,4.0,10704.0,
Труба профильная 100х60х4 ГОСТ 10704-2012 Ст20,,100.0,60.0,4.0,
Труба профильная 160х4 ГОСТ 30245-2018 С245,,160.0,4.0,30245.0,
Швеллер 24П ГОСТ 8240-97 С245,,,,,
Уголок 180х12 ГОСТ 8509-93 С245,,180.0,12.0,8509.0,
Уголок 200х14 ГОСТ 8509-93 С245,,200.0,14.0,8509.0,
Лист рифленый 5 ГОСТ 8568-77 С235,,77.0,8568.0,5.0,
Швеллер 27П ГОСТ 8240-97 С245,,,,,
Швеллер 30П ГОСТ 8240-97 С245,,,,,
"Арматура  12 мм А1  ст 3ГС Гост 5781-82 М/Д 11,7м",12.0,,,,
Уголок равнополочный гальваническое покрытие 50х50х5 (L  заготовки 1шт=2000мм),,50.0,50.0,5.0,
Труба сварная электроварная двухшовная 1020х10 мм,1020.0,,,10.0,
Труба 377х10 ГОСТ 10704-91 Ст20 ГОСТ 10705-80,377.0,,,10.0,
Труба 1120х8 1300ММ,1120.0,,,8.0,
Труба 426х10 ГОСТ 8732-78 Ст20,426.0,,,10.0,
Труба 820х8 ГОСТ 10704-91 Ст20,820.0,,,8.0,
Труба 530х10 Ст20 ГОСТ 10705-80,530.0,,,10.0,
Уголок 63х63х5 ст3 ГОСТ 8509-93,,63.0,63.0,5.0,
"ТРУБА 50Х3,5",50.0,,,3.5,
АРМАТУРА 8-А400С А-III,8.0,,,,
Арматура 12 А-I А240  ГОСТ 2590-2006,12.0,,,,
Труба профильная 80х80х4 ГОСТ 30245-2003 Ст20,,80.0,80.0,4.0,
Лист ПВЛ 510 ГОСТ 8706-78 Ст3пс2,,78.0,8706.0,510.0,
Швеллер 12П ГОСТ 8240-89 C255 ГОСТ 27772-88,,,,,
Труба профильная 100х100х5 ГОСТ 30245-94 С245 ГОСТ 27772-88,,100.0,100.0,5.0,
Уголок горячекатаный равнопроволочный 110х110х7 ВСт.3 ГОСТ 8509-93,,110.0,110.0,7.0,
Швеллер 16 ГОСТ 8240-97 Ст3/С245 ГОСТ 27772-88,,,,,
ШВЕЛЛЕР 10П С 245 ГОСТ 27772-88,,,,,
Уголок горячекатаный равнопроволочный 90х90х8 С245 ГОСТ 27772-88,,90.0,90.0,8.0,
Уголок горячекатаный равнопроволочный 100х100х10 С245 ГОСТ 27772-88,,100.0,100.0,10.0,
Труба 170х170х6 С245 ГОСТ 27772-88,170.0,,,170.0,
Труба 160х100х4 С245 ГОСТ 27772-88,160.0,,,100.0,
Профиль 150х150х5 ст3пс ГОСТ 8639-82,,150.0,150.0,5.0,
Уголок горячекатаный равнополочный 70х70х6 ГОСТ 8509-93 С235 ГОСТ 27772-88,,70.0,70.0,6.0,
Профиль 170х170х5 ГОСТ 30245-2003 С245 ГОСТ 27772-88,,170.0,170.0,5.0,
"Лист 12 мм ст.3  лист г/к 12мм ст3пс5 1,5х6м. из нелегированной стали",,12.0,3.0,12.0,
"Лист 10 мм ст,3 г/к ст3пс5  1,5х6м. из нелегированной стали ",,3.0,3.0,10.0,
Труба 159х6 09Г2С ТУ 14-159-1128-2008,159.0,,,6.0,
Лист 6 12Х18Н10Т,,18.0,12.0,6.0,
Уголок 70х70х6 AISI 304,,70.0,70.0,6.0,
Лист 35 A240 304L,,304.0,240.0,35.0,
УГОЛОК 70Х70х5ММ,,70.0,70.0,5.0,
Труба 100х4 ГОСТ 10704-91 Ст3,100.0,,,4.0,
Арматура ф 16 AIII,16.0,,,,
Арматура Д 8мм А3,8.0,,,,
"Арматура  12 мм А3  ст 35ГС  11,7м",12.0,,,,
Лист 3х1500х6000 ГОСТ 19903-74 Ст3,,6000.0,1500.0,3.0,
Лист 30 ГОСТ 19903-74 Ст4сп,,74.0,19903.0,30.0,
Лист 50 ГОСТ 19903-74 Ст3,,74.0,19903.0,50.0,
Лист 8 ГОСТ 19903-74 Ст3,,74.0,19903.0,8.0,
Лист 0.7х1250 ГОСТ 14918-80 08кп оцинкованный,,14918.0,1250.0,0.7,
Уголок 50*50*4 мм L-1400 мм,,50.0,50.0,4.0,
АРМАТУРА 16-А400,16.0,,,,
Арматура 14 А400 35ГС,14.0,,,,
Арматура 18 А400 35ГС,18.0,,,,
Лист 6 Ст3сп ГОСТ 26020-83,,26020.0,3.0,6.0,
Труба 100х100х6 ГОСТ 8639-82 Ст3сп5,100.0,,,100.0,
"Труба 40х60х2,5 Ст3пс ГОСТ 380-88 ГОСТ 8645-68",40.0,,,60.0,
Труба 114х9 ГОСТ 8734-75 09Г2С,114.0,,,9.0,
Труба 168х8 ГОСТ 8734-75 09Г2С,168.0,,,8.0,
Уголок 90х6 C244 ГОСТ 8509-94,,90.0,6.0,244.0,
Профиль гнутый замкнутый 100х100х6мм,,100.0,100.0,6.0,
Труба профильная 120х120х5 ГОСТ 30245-2003 Ст3сп,,120.0,120.0,5.0,
ШВЕЛЛЕР 20У,,,,,
Уголок 100х100х10 ГОСТ 8509-93 С255 ГОСТ 27772-88,,100.0,100.0,10.0,
ШВЕЛЛЕР 18У.,,,,,
Швеллер 14П 12000ММ Ст3пс ГОСТ 535-2005,,,,,
Труба профильная 50х50х4 ст3сп/пс,,50.0,50.0,4.0,
Швеллер горячекатаный 12П ГОСТ 8240-97 Ст20,,,,,
Арматура 10 А400,10.0,,,,
Труба 530х10 ГОСТ 10704-91 В10 ГОСТ 10705-80,530.0,,,10.0,
Труба 159х6 ГОСТ 10704-91 В10 ГОСТ 10705-80,159.0,,,6.0,
"Труба стальная электросварная прямошовная ∅89х3,5",89.0,,,3.5,
Труба 720х10 ГОСТ 10704-91 В10 ГОСТ 10705-80,720.0,,,10.0,
Труба 920х10 ГОСТ 10704-91 В10 ГОСТ 10705-80,920.0,,,10.0,
Труба 76х4 ГОСТ 8734-75 В20,76.0,,,4.0,
Труба 57х6,57.0,,,6.0,
ТРУБА КВАДРАТ 60Х60Х3,60.0,,,60.0,
Швеллер 16 С245,,,,,
Уголок 75х75х6 ГОСТ 8509-93 С245 ГОСТ 27772-2015,,75.0,75.0,6.0,
"Труба 80х80х5 С245 ГОСТ 30245-2003, ГОСТ27772-88 ",80.0,,,80.0,
Лист горячекатаный 20 ГОСТ 2591-88 Ст58,,88.0,2591.0,20.0,
Труба 42х7 ГОСТ 8734-75 Ст20,42.0,,,7.0,
Труба профильная 150х170х4.5 ГОСТ 30245-94 С245,,150.0,170.0,4.5,
Лист 0.8 ГОСТ 19903-74 Ст58,,74.0,19903.0,0.8,
Труба профильная 140х120х4 ГОСТ 30245-94 С245,,140.0,120.0,4.0,
УГОЛОК 100Х100Х10 С245,,100.0,100.0,10.0,
Лист 18 ГОСТ 19903-74 С235,,74.0,19903.0,18.0,
Лист 12 ГОСТ 19903-74 С235,,74.0,19903.0,12.0,
Уголок 70х70х5 ГОСТ 8509-93 С245,,70.0,70.0,5.0,
Швеллер 8 ГОСТ 8240-72 С245,,,,,
Труба профильная 140х100х5 ГОСТ 30245-94 С245,,140.0,100.0,5.0,
Швеллер 20 С245 ГОСТ 8240-97,,,,,
Лист горячекатаный 8 ГОСТ 2591-88 Ст58,,88.0,2591.0,8.0,
Труба профильная 100х80х4 ГОСТ 30245-94 С245,,100.0,80.0,4.0,
Труба 40х40х4 ГОСТ 30245-94 С245,40.0,,,40.0,
Труба 60х60х5 ГОСТ 30245-94 С245,60.0,,,60.0,
Труба профильная 200х100х5 ГОСТ 30245-94 С245,,200.0,100.0,5.0,
Труба квадратная 100х100х6,100.0,,,100.0,
ШВЕЛЛЕР 10 С245,,,,,
Труба 150х150х4 ГОСТ 30245-94 С245,150.0,,,150.0,
Труба квадратная 80х80х4,80.0,,,80.0,
Лист 20 ГОСТ 19903-74 С235,,74.0,19903.0,20.0,
Труба 150х150х6 ГОСТ 30245-94 С245,150.0,,,150.0,
Уголок горячекатаный 75х75х5 ГОСТ 8509-93 Ст3 ОСТ 535-88,,75.0,75.0,5.0,
Лист 14 ГОСТ 19903-74 С235,,74.0,19903.0,14.0,
Уголок 50х50х5 ст3 ГОСТ 8509-93,,50.0,50.0,5.0,
Труба профильная 120х60х4 ГОСТ 30245-94 С245,,120.0,60.0,4.0,
Уголок 110х7 C245 ГОСТ 8509-93,,110.0,7.0,245.0,
Труба 40х40х3 ГОСТ 30245-94 С245,40.0,,,40.0,
Труба 50х50х5 ГОСТ 30245-94 С245,50.0,,,50.0,
Лист 5 ГОСТ 19903-74 С235,,74.0,19903.0,5.0,
Уголок 50х50х5 ГОСТ 8509-93 Ст3сп1-1 ГОСТ 535-2005,,50.0,50.0,5.0,
Круг 65 ГОСТ 2590-88 Cт35-2ГП ГОСТ 1050-88,65.0,,,,
Круг 20 ГОСТ 2590-88 Cт20-2ГП ГОСТ 1050-88,20.0,,,,
Круг 36 ГОСТ 2590-88 Cт20-2ГП ГОСТ 1050-88,36.0,,,,
Круг 16 ГОСТ 2590-88 Cт20-2ГП ГОСТ 1050-88,16.0,,,,
Круг 36 ГОСТ 2590-88 Cт35-2ГП ГОСТ 1050-88,36.0,,,,
Круг 16 ГОСТ 2590-88 Cт35-2ГП ГОСТ 1050-88,16.0,,,,
Уголок 63х40х5 ГОСТ 8509-93 Ст3сп1-1 ГОСТ 535-2005,,63.0,40.0,5.0,
Круг 60 ГОСТ 2590-88 Cт20-2ГП ГОСТ 1050-88,60.0,,,,
Лист 1.4 ASTM G60 оцинкованная,,,,,
Труба 325х9-1-С 09Г2С ТУ 14-3Р-77-2004 NACE MR0175,325.0,,,9.0,
Труба 114х4-1-С 09Г2С ТУ 14-3Р-77-2004 NACE MR0175,114.0,,,4.0,
Труба 219х7-1-С 09Г2С ТУ 14-3Р-77-2004 NACE MR0175,219.0,,,7.0,
Труба 530х6 ГОСТ 10704-91 09Г2С,530.0,,,6.0,
Труба стальная оцинкованная Ø32,,,,,
"Труба бесшовная (SMLS) DN1"" Sch XS (25х4.55) ASME B36.10M ASTM A335 Gr.P11",25.0,,,4.55,
Лист t=4мм,,,,,
Лист 12 ГОСТ 19903-2015 Ст3,,2015.0,19903.0,12.0,
"Труба 80х60х3,0 Ст2пс ГОСТ 380-88 ГОСТ 8645-68",80.0,,,60.0,
Труба 80х80х3-Ст3сп ГОСТ 8639-82,80.0,,,80.0,
Труба 57х3.2 ГОСТ 10704-91 Ст20,57.0,,,3.2,
Труба стальная электросварная прямошовная 377х4мм,377.0,,,4.0,
Лист 12х1500х6000 ГОСТ 19903-2015 Ст3сп/пс5,,6000.0,1500.0,12.0,
КРУГ 16,16.0,,,,
"Труба стальная жесткая ф63х1,2 L=3м",63.0,,,1.2,
Лист 6х1500х6000 ГОСТ 19903-2015 Ст3сп5,,6000.0,1500.0,6.0,
Швеллер 20 С245,,,,,
Лист 20 ГОСТ 19903-74 С255 ГОСТ 27772-88,,74.0,19903.0,20.0,
УГОЛОК 140Х140Х9 С245,,140.0,140.0,9.0,
Швеллер 27У ГОСТ 8240-97 С245/С255,,,,,
Лист 14,,,,,
Лист 12,,,,,
Лист 40 ГОСТ 19903-74 С255 ГОСТ 27772-88,,74.0,19903.0,40.0,
Швеллер 20У 12000ММ ГОСТ 8240-97 C255 ГОСТ 27772-2015,,,,,
Труба профильная 2х40х100 Ст3 ГОСТ 380-88 ГОСТ 8645-68,,2.0,40.0,100.0,
Труба профильная 3х60х120 Ст3 ГОСТ 380-88 ГОСТ 8645-68,,3.0,60.0,120.0,
Лист 4х1500х6000 ГОСТ 19903-2015 Ст3сп5 ГОСТ 14637-89,,6000.0,1500.0,4.0,
Лист 30х1500х6000 ГОСТ 19903-2015 09Г2С-12 ГОСТ 5520-2017,,6000.0,1500.0,30.0,
Лист алюминиевый 0.5х940х1800 3003 ASTM B209 H14,,1800.0,940.0,0.5,
"Лист горячекатаный ст3пс5/сп5 18ММ 1,5х6М ГОСТ 14637",,5.0,5.0,3.0,
Труба профильная 60х60х3 ГОСТ 30245-2003 ст20,,60.0,60.0,3.0,
"Труба стальная водогазопроводная Ø50х3,5мм",50.0,,,3.5,
"АРМАТУРА 28, А3, СТАЛЬ 25Г2С",28.0,,,,
Арматура 6-А-I ВСт3сп2 ГОСТ 5781-82,6.0,,,,
Швеллер 26-Са Ст3пс ГОСТ 8240-97,,,,,
Швеллер 14-С Ст3пс ГОСТ 8240-97,,,,,
Швеллер 16-Са Ст3пс ГОСТ 8240-97,,,,,
Швеллер 20-Са Ст3пс ГОСТ 8240-97,,,,,
Швеллер 10-П Ст3пс ГОСТ 8240-97,,,,,
Швеллер 60х40х3 ГОСТ 8278-83 С245 ГОСТ 27772-88,,,,,
Уголок 32х32х3 Ст3пс оцинкованный,,32.0,32.0,3.0,
"Труба оцинкованная Ц-50x3,5",50.0,,,3.5,
Труба 12х3 12х18Н10Т ГОСТ 9941-81,12.0,,,3.0,
Лист 5х1000х2000 ГОСТ 19903-2015 Ст3,,2000.0,1000.0,5.0,
Полоса 60х40х6000-Ст3сп5 ГОСТ 103-76,,,60.0,40.0,
Полоса 40х40х6000-Ст3сп5 ГОСТ 103-76,,,40.0,40.0,
Полоса 35х35х6000-Ст3сп5 ГОСТ 103-76,,,35.0,35.0,
Швеллер 16 металлический,,,,,
Профиль 125х125х4 ст3пс ГОСТ 8639-82,,125.0,125.0,4.0,
Труба 114х6-1-С ст20 ТУ 14-3Р-77-2004 NACE MR0175,114.0,,,6.0,
"Лист 0,45ММ оцинкованный Ст3",,,,,
Труба 377х6 ГОСТ 10704-91 В20 ГОСТ 10705-80,377.0,,,6.0,
Труба 377х6 ГОСТ 10704-91 В20 ГОСТ 10705-80 с 3-х слойной изоляцией ГОСТ Р 51164-98,377.0,,,6.0,
Труба профильная 50х20х3 ГОСТ 8645-68 Ст3пс,,50.0,20.0,3.0,
Труба профильная 70х70х4 ГОСТ 30245-2003 С245,,70.0,70.0,4.0,
ЛИСТ ,,,,,
Труба профильная 80х80х5 ГОСТ 30245-2003 09Г2С,,80.0,80.0,5.0,
Уголок 75х75х6 ст3 ГОСТ 8509-93,,75.0,75.0,6.0,
Лист 0.5х3000 Ст3,,3.0,3000.0,0.5,
Труба 32х2.5 ГОСТ 10704-91 Ст3пс,32.0,,,2.5,
Труба 6х120х60-Ст3пс ГОСТ 30245-2003,6.0,,,120.0,
Труба 4х50х50-Ст3пс ГОСТ 13663-86,4.0,,,50.0,
Труба 200х150х5-Ст3пс ГОСТ 32931-2015,200.0,,,150.0,
Труба 40х2 Ст20 ГОСТ 3262-75,40.0,,,2.0,
Труба 28х2 Ст20 ГОСТ 10707-80,28.0,,,2.0,
Уголок 160х160х10 ст3,,160.0,160.0,10.0,
Труба профильная 50х50х3 С245 ГОСТ 8639-82,,50.0,50.0,3.0,
Круг 6ММ Ст3,6.0,,,,
Арматура 14 А3 25Г2С 11700,14.0,,,,
Арматура 20  А1,20.0,,,,
Арматура 22 35ГС А-III,22.0,,,,
Арматура 18 35ГС А-III,18.0,,,,
Арматура 10 А1 ГОСТ 5781-82,10.0,,,,
Арматура 12 35 ГС А-III,12.0,,,,
Лист 8х1500х6000 ГОСТ 19903-74 Ст3пс,,6000.0,1500.0,8.0,
"Лист 4 мм ст.3сп5, г/к,ГОСТ 19903-74",,5.0,3.0,4.0,
Лист ПВ 510 толщина 5ММ подача 10ММ шаг 90ММ ширина 500ММ,,10.0,5.0,510.0,
Лист 6 ГОСТ 19903-74 Ст3сп5,,74.0,19903.0,6.0,
АРМАТУРА Ø12 АIII (25Г2С),12.0,,,,
АРМАТУРА 6-А240,6.0,,,,
"АРМАТУРА 8, А500С, СТАЛЬ 3СП/3ГСП",8.0,,,,
Арматура 12 А500,12.0,,,,
Лист 14 ГОСТ 19903-2015 С245,,2015.0,19903.0,14.0,
Лист рифленый 5х1500х6000ММ стальной,,6000.0,1500.0,5.0,
Лист 34 ГОСТ 19903-2015 С245,,2015.0,19903.0,34.0,
Швеллер 20У ГОСТ 8240-97 С245,,,,,
Уголок 90х90х7 ГОСТ 8509-93 С245 ГОСТ 27772-88,,90.0,90.0,7.0,
Профиль 40х100х5 ГОСТ 30245-2003 С245 ГОСТ 27772-88,,40.0,100.0,5.0,
Лист 22 ГОСТ 19903-90 С245 ГОСТ 27772-88,,90.0,19903.0,22.0,
ТРУБА Ø32Х3ММ,32.0,,,3.0,
Швеллер 16П ГОСТ 8240-89 C255 ГОСТ 27772-2015,,,,,
"Труба 51х3,5",51.0,,,3.5,
Труба 100х60х3.5 Ст3 ГОСТ 8645-68,100.0,,,60.0,
Швеллер 16П ГОСТ 8240-97 С245 ГОСТ 27772-2015,,,,,
Швеллер 140х60х4 ГОСТ 8278-83 С245 ГОСТ 27772-2015,,,,,
Уголок 100х63х8 ГОСТ 8510-86 C245 ГОСТ 27772-201,,100.0,63.0,8.0,
Профиль 60х3 ГОСТ 30245-2015 С245 ГОСТ 27772-2015,,60.0,3.0,30245.0,
Профиль 80х3 ГОСТ 30245-2015 С245 ГОСТ 27772-2015,,80.0,3.0,30245.0,
Профиль 100х3 ГОСТ 30245-2015 С245 ГОСТ 27772-2015,,100.0,3.0,30245.0,
Профиль 125х4 ГОСТ 30245-2015 С245 ГОСТ 27772-2015,,125.0,4.0,30245.0,
Лист 4 ГОСТ 19903-2015 С245 ГОСТ 27772-2015,,2015.0,19903.0,4.0,
Лист 6 ГОСТ 19903-2015 С245 ГОСТ 27772-2015,,2015.0,19903.0,6.0,
Лист 12 ГОСТ 19903-2015 С245 ГОСТ 27772-2015,,2015.0,19903.0,12.0,
Лист 3х1250х2500 Ст3,,2500.0,1250.0,3.0,
Лист 4х1250х2500,,2500.0,1250.0,4.0,
Лист 1х1250х2500 ГОСТ 19903-74 Ст3сп5 ГОСТ 14637-89,,2500.0,1250.0,1.0,
Труба 80х60х3 12000,80.0,,,60.0,
Лист 2.5х1250х2500 ст3сп5 ГОСТ 8568-77,,2500.0,1250.0,2.5,
Труба 325х8 ГОСТ 8732-78 В20,325.0,,,8.0,
Труба 273х8 ГОСТ 8732-78 В20 ГОСТ 8731-74,273.0,,,8.0,
Труба 426х9 ГОСТ 8732 Ст20 с изоляцией усиленного типа УС,426.0,,,9.0,
Труба 89х6 ГОСТ 8732-78 Ст20 ГОСТ 8731-78 покрытие 3LPE,89.0,,,6.0,
Труба 102х3 Ст2пс ГОСТ 10705-80,102.0,,,3.0,
Полоса 50х5 С245 ГОСТ 103-2006,,,50.0,5.0,
Лист горячекатаный 4х1500х6000,,6000.0,1500.0,4.0,
Труба 426х6 К50 ГОСТ 31447-2012 с 3-х слойной изоляцией,426.0,,,6.0,
Труба 159х6 ГОСТ 8732-78 В10 ГОСТ 8731-74,159.0,,,6.0,
"ЛИСТ ИЗ ОЦИНКОВАННОЙ ТОНКОЛИСТОВОЙ СТАЛИ  S=0,6 ММ",,,,,
Труба 325х8 ГОСТ 10704-91 В10 ГОСТ 10705-80,325.0,,,8.0,
Арматура 8 А1,8.0,,,,
Лист 20х100х100 ГОСТ 19903-2015 С235 ГОСТ 27772-2015,,100.0,100.0,20.0,
Уголок 75х5 С235 ГОСТ 8509-93,,75.0,5.0,235.0,
Лист 10х140х200 ГОСТ 19903-74 С235 ГОСТ 27772-88,,200.0,140.0,10.0,
Лист 10х50х50 ГОСТ 19903-74 С245,,50.0,50.0,10.0,
Лист 12х300х550 ГОСТ 19903-74 С245,,550.0,300.0,12.0,
Лист 10х360х360 ГОСТ 19903-74 С245,,360.0,360.0,10.0,
Лист 10х360х750 ГОСТ 19903-74 С245,,750.0,360.0,10.0,
Труба 120х120х5 ст3сп5 ГОСТ 30245-2003,120.0,,,120.0,
Профиль 60х60х3 ГОСТ 30245-2003 С245 ГОСТ 27772-88,,60.0,60.0,3.0,
Круг 16ММ.,16.0,,,,
Круг 10 ГОСТ 2590-2006 Ст3сп1 ГОСТ 535-2005,10.0,,,,
Лист 1.2 Ст3 ГОСТ 14918-80,,14918.0,3.0,1.2,
Арматура ф12 мм А 3,12.0,,,,
Арматура прокат. А1 ф8,1.0,,,,
Лист 4х100х100 ГОСТ 19903-74 С245,,100.0,100.0,4.0,
Лист горячекатаный 6 С245 ГОСТ 27772-88,,27772.0,245.0,6.0,
Лист 4х160х160 С235 ГОСТ 27772-88,,160.0,160.0,4.0,
Лист 4х80х80 С235 ГОСТ 27772-88,,80.0,80.0,4.0,
Лист 4х40х40 С235 ГОСТ 27772-88,,40.0,40.0,4.0,
Профиль 50х40х4 С245 ГОСТ 27772-88,,50.0,40.0,4.0,
Круг 16 Ст20 ГОСТ 1050-2013,16.0,,,,
Труба 219х4 ГОСТ 10704-91 В20 с изоляцией усиленного типа УС,219.0,,,4.0,
"Труба 80х40х2,5 Ст2пс ГОСТ 380-88 ГОСТ 8645-68",80.0,,,40.0,
Швеллер 16,,,,,
Труба профильная 200х200х5 ГОСТ 30245-2012 3сп/пс5,,200.0,200.0,5.0,
Полоса 10х40 С245,,,10.0,40.0,
Полоса стальная 4х40 С245 ГОСТ 103-76,,,4.0,40.0,
Труба 25х3 ГОСТ 8732-78 Ст20,25.0,,,3.0,
"Лист стальной 1,5мм",,,,,
Труба профильная 40х20х2 оцинкованная ГОСТ 8645-68,,40.0,20.0,2.0,
Уголок 200х12 ст.3 ГОСТ 8509,,200.0,12.0,3.0,
"Труба 125х125х4,0 Ст2пс ГОСТ 380-88 ГОСТ 8639-82",125.0,,,125.0,
Профиль 140х120х4 ГОСТ 30245-2003 С245 ГОСТ 27772-88,,140.0,120.0,4.0,
Профиль стальной гнутый замкнутый сварной 120х60х4 С245 ГОСТ 30245-2003,,120.0,60.0,4.0,
ШВЕЛЛЕР ГНУТЫЕ [160Х80Х4,,,,,
Профиль стальной гнутый замкнутый сварной 180х180х8 С245 ГОСТ 30245-2003,,180.0,180.0,8.0,
Уголок 125х125х8 ГОСТ 8509-93 С345 ГОСТ 27772-88,,125.0,125.0,8.0,
Профиль 170х170х5 ст3пс ГОСТ 8639-82,,170.0,170.0,5.0,
Профиль 80х80х4 ст3пс ГОСТ 8639-82,,80.0,80.0,4.0,
Профиль 50х50х2ММ сталь,,50.0,50.0,2.0,
Труба 159х5 ГОСТ 8732-78 В20 ГОСТ 8731-74,159.0,,,5.0,
"Труба 40х3,0 ГОСТ 3262-75",40.0,,,3.0,
Труба 80х80х4 5000 ГОСТ 8636-82 Ст2сп,80.0,,,80.0,
Арматура 9.5 Ст3пс,9.5,,,,
Полоса 8х70х70 Ст3 ГОСТ 103-2006,,,8.0,70.0,
"Труба стальная водогазопроводная Ø25х2,8мм",25.0,,,2.8,
